year,day_length_seconds,precipitation_mm,solar_radiation_langley,snow_water_equivalent_mm,vapor_pressure_pa,date,mean_temp_celsius,temp_range,sin_day,cos_day,month,weekday
2011,-0.9304121784707623,-0.41545736907282815,-0.08555565180146084,-0.12155942064351276,-1.1482132054134695,2011-02-06,-1.3191039825113053,0.18456660621393625,0.5947266869607634,0.8039279618328213,-1.2939706432903488,1.5082392303722687
2011,-0.9304121784707623,-0.41545736907282815,-0.01923245047964089,-0.12155942064351276,-1.0939084163478647,2011-02-07,-1.1773226142405542,0.3400699643714574,0.6084768701151261,0.7935716089521474,-1.2939706432903488,-1.5043694696785619
2011,-0.874013020822075,-0.41545736907282815,-0.5166564603932878,-0.12155942064351276,-1.0396036272822602,2011-02-08,-1.3191039825113053,-0.7484535427311908,0.6220467484408675,0.7829801036770629,-1.2939706432903488,-1.0022680196700902
2011,-0.874013020822075,-0.41545736907282815,-0.052394051140551165,-0.12155942064351276,-1.2568227835446788,2011-02-09,-1.6877355400152587,0.029063248056415074,0.6354323008901774,0.7721565844991642,-1.2939706432903488,-0.5001665696616183
2011,-0.874013020822075,0.1801845495702597,-0.41717165841055887,-0.12155942064351276,-1.2025179944790743,2011-02-10,-1.5743104453986576,-0.5929501845736697,0.6486295610349814,0.7611042586607747,-1.2939706432903488,0.0019348803468534734
2011,-0.8174503873541162,-0.41545736907282815,0.24606035480763716,-0.12155942064351276,-1.3111275726102836,2011-02-11,-1.6310229927069582,0.9620833970015421,0.6616346182422783,0.7498264012045686,-1.2939706432903488,0.5040363303553252
2011,-0.8174503873541162,-0.41545736907282815,0.27922195546854683,-0.12155942064351276,-1.2025179944790743,2011-02-12,-1.262391435203005,1.1175867551590632,0.6744436188329455,0.7383263540031065,-1.2939706432903488,1.006137780363797
2011,-0.7608877538861574,-0.41545736907282815,0.4450299587730958,-0.12155942064351276,-1.1482132054134695,2011-02-13,-1.0638975196239533,1.8951035459466692,0.6870527672236669,0.7266075247685656,-1.2939706432903488,1.5082392303722687
2011,-0.7608877538861574,-0.41545736907282815,0.3123835561294571,-0.12155942064351276,-0.8223844710198414,2011-02-14,-0.4400594992326477,1.584096829631627,0.699458327051647,0.7146733860429609,-1.2939706432903488,-1.5043694696785619
2011,-0.7608877538861574,-0.41545736907282815,0.21289875414672746,-0.12155942064351276,-0.9309940491510508,2011-02-15,-0.7803347830824507,0.9620833970015421,0.7116566222817746,0.7025274741691571,-1.2939706432903488,-1.0022680196700902
2011,-0.7044885962374701,-0.41545736907282815,0.17973715348581779,-0.12155942064351276,-0.9309940491510508,2011-02-16,-0.8086910567366009,0.806580038844021,0.7236440382959124,0.6901733882429719,-1.2939706432903488,-0.5001665696616183
2011,-0.7044885962374701,-0.41545736907282815,0.41186835811218614,-0.12155942064351276,-0.8766892600854461,2011-02-17,-0.5251283201950985,1.739600187789148,0.7354170229639855,0.6776147890466889,-1.2939706432903488,0.0019348803468534734
2011,-0.7044885962374701,-0.41545736907282815,0.08025235150308815,-0.12155942064351276,-0.3336413694293992,2011-02-18,0.07035342654205677,0.9620833970015421,0.7469720876965552,0.6648553979642865,-1.2939706432903488,0.5040363303553252
2011,-0.6479259627695112,-0.41545736907282815,0.1465755528249081,-0.12155942064351276,-0.550860525691818,2011-02-19,-0.15649676269114524,0.9620833970015421,0.7583058084785624,0.6518989958787126,-1.2939706432903488,1.006137780363797
2011,-0.6479259627695112,-0.41545736907282815,0.04709075084217847,-0.12155942064351276,-0.8223844710198414,2011-02-20,-0.6385534148116995,0.4955733225289786,0.7694148268839378,0.6387494220515272,-1.2939706432903488,1.5082392303722687
2011,-0.6479259627695112,-0.41545736907282815,0.17973715348581779,-0.12155942064351276,-0.550860525691818,2011-02-21,-0.15649676269114524,0.9620833970015421,0.7802958510707755,0.6254105729852463,-1.2939706432903488,-1.5043694696785619
2011,-0.5915268051208239,-0.41545736907282815,0.41186835811218614,-0.12155942064351276,-0.8223844710198414,2011-02-22,-0.5251283201950985,1.4285934714741058,0.7909456567567772,0.6118864012687243,-1.2939706432903488,-1.0022680196700902
2011,-0.5915268051208239,-0.41545736907282815,-0.11871725246237053,-0.12155942064351276,-0.9852988382166554,2011-02-23,-1.0071849723156527,0.029063248056415074,0.8013610881746766,0.5981809144059165,-1.2939706432903488,-0.5001665696616183
2011,-0.534964171652865,-0.41545736907282815,-0.7156260643587472,-0.12155942064351276,-0.9309940491510508,2011-02-24,-1.0638975196239533,-0.903956900888712,0.8115390590073611,0.5842981736283684,-1.2939706432903488,0.0019348803468534734
2011,-0.534964171652865,3.754036061428787,-0.5166564603932878,-0.12155942064351276,-0.9852988382166554,2011-02-26,-0.7519785094283005,1.4285934714741058,0.8311706263658079,0.5560174366570446,-1.2939706432903488,1.006137780363797
2011,-0.47840153818490616,-0.41545736907282815,0.6108379620776448,-0.12155942064351276,-0.713774892888632,2011-02-27,-0.18485303634529548,2.0506069041041903,0.8406184056344782,0.5416278206559814,-1.2939706432903488,1.5082392303722687
2011,-0.47840153818490616,0.7758264682133476,0.11341395216399783,-0.12155942064351276,-0.11642221316698043,2011-02-28,0.2688473421211085,0.806580038844021,0.8498170915275278,0.5270777086423722,-1.2939706432903488,-1.5043694696785619
2011,-0.42200238053621886,-0.41545736907282815,0.7103227640603744,-0.12155942064351276,-0.9852988382166554,2011-03-02,-0.7519785094283005,1.739600187789148,0.8674563547295969,0.49751328890718066,-1.0072604836769898,-0.5001665696616183
2011,-0.42200238053621886,-0.41545736907282815,-0.08555565180146084,-0.12155942064351276,-0.8223844710198414,2011-03-03,-0.7803347830824507,0.029063248056415074,0.8758917051442429,0.48250774176121847,-1.0072604836769898,0.0019348803468534734
2011,-0.36543974706826,-0.41545736907282815,0.3455451567903668,-0.12155942064351276,-1.0396036272822602,2011-03-04,-1.0638975196239533,0.6510766806864998,0.8840675099433636,0.4673592171580022,-1.0072604836769898,0.5040363303553252
2011,-0.36543974706826,-0.41545736907282815,0.01392915018126879,-0.12155942064351276,-0.6594701038230273,2011-03-05,-0.468415772886798,0.18456660621393625,0.8919813464595485,0.45207220393230435,-1.0072604836769898,1.006137780363797
2011,-0.3090405894195727,1.3714683868564355,-0.9477572689851155,-0.12155942064351276,-0.713774892888632,2011-03-06,-0.6101971411575492,0.029063248056415074,0.8996308696522433,0.43665123195606403,-1.0072604836769898,1.5082392303722687
2011,-0.3090405894195727,-0.41545736907282815,0.17973715348581779,-0.12155942064351276,-0.9852988382166554,2011-03-08,-1.0071849723156527,0.3400699643714574,0.9141279881853337,0.40542572835999735,-1.0072604836769898,-1.0022680196700902
